,Number
2014-09-01 18:24:00,9867
2014-09-01 18:26:00,9570
2014-09-01 18:28:00,9779
2014-09-01 18:30:00,9575
2014-09-01 18:32:00,9874
2014-09-01 18:34:00,11088
2014-09-01 18:36:00,8665
2014-09-01 18:38:00,9573
2014-09-01 18:40:00,7250
2014-09-01 18:42:00,8867
2014-09-01 18:44:00,8865
2014-09-01 18:46:00,8662
2014-09-01 18:48:00,7857
2014-09-01 18:50:00,8262
2014-09-01 18:52:00,8466
2014-09-01 18:54:00,8664
2014-09-01 18:56:00,7558
2014-09-01 18:58:00,11693
2014-09-01 19:00:00,9174
2014-09-01 19:02:00,10578
2014-09-01 19:04:00,10083
2014-09-01 19:06:00,9173
2014-09-01 19:08:00,8970
2014-09-01 19:10:00,8868
2014-09-01 19:12:00,10681
2014-09-01 19:14:00,7659
2014-09-01 19:16:00,9267
2014-09-01 19:18:00,6753
2014-09-01 19:20:00,7954
2014-09-01 19:22:00,8358
2014-09-01 19:24:00,7352
2014-09-01 19:26:00,8764
2014-09-01 19:28:00,8764
2014-09-01 19:30:00,9271
2014-09-01 19:32:00,8357
2014-09-01 19:34:00,8863
2014-09-01 19:36:00,8157
2014-09-01 19:38:00,7459
2014-09-01 19:40:00,7664
2014-09-01 19:42:00,8763
2014-09-01 19:44:00,8569
2014-09-01 19:46:00,7357
2014-09-01 19:48:00,9672
2014-09-01 19:50:00,7657
2014-09-01 19:52:00,8760
2014-09-01 19:54:00,9172
2014-09-01 19:56:00,8868
2014-09-01 19:58:00,9567
2014-09-01 20:00:00,9776
2014-09-01 20:02:00,7660
2014-09-01 20:04:00,9568
2014-09-01 20:06:00,9771
2014-09-01 20:08:00,9771
2014-09-01 20:10:00,8164
2014-09-01 20:12:00,9473
2014-09-01 20:14:00,8067
2014-09-01 20:16:00,8870
2014-09-01 20:18:00,7859
2014-09-01 20:20:00,8365
2014-09-01 20:22:00,7959
2014-09-01 20:24:00,7458
2014-09-01 20:26:00,7557
2014-09-01 20:28:00,7560
2014-09-01 20:30:00,7051
2014-09-01 20:32:00,6748
2014-09-01 20:34:00,7759
2014-09-01 20:36:00,7763
2014-09-01 20:38:00,9981
2014-09-01 20:40:00,6446
2014-09-01 20:42:00,9165
2014-09-01 20:44:00,8969
2014-09-01 20:46:00,9472
2014-09-01 20:48:00,7155
2014-09-01 20:50:00,7556
2014-09-01 20:52:00,7557
2014-09-01 20:54:00,8059
2014-09-01 20:56:00,7559
2014-09-01 20:58:00,6949
2014-09-01 21:00:00,8462
2014-09-01 21:02:00,7863
2014-09-01 21:04:00,9573
2014-09-01 21:06:00,9674
2014-09-01 21:08:00,8254
2014-09-01 21:10:00,5941
2014-09-01 21:12:00,7967
2014-09-01 21:14:00,7756
2014-09-01 21:16:00,7960
2014-09-01 21:18:00,6955
2014-09-01 21:20:00,7853
2014-09-01 21:22:00,9668
2014-09-01 21:24:00,7049
2014-09-01 21:26:00,8361
2014-09-01 21:28:00,8866
2014-09-01 21:30:00,8158
2014-09-01 21:32:00,7651
2014-09-01 21:34:00,7557
2014-09-01 21:36:00,6849
2014-09-01 21:38:00,7258
2014-09-01 21:40:00,6354
2014-09-01 21:42:00,7557
2014-09-01 21:44:00,6958
2014-09-01 21:46:00,7455
2014-09-01 21:48:00,8368
2014-09-01 21:50:00,8054
2014-09-01 21:52:00,7760
2014-09-01 21:54:00,7052
2014-09-01 21:56:00,5950
2014-09-01 21:58:00,7856
2014-09-01 22:00:00,7755
2014-09-01 22:02:00,7054
2014-09-01 22:04:00,7548
2014-09-01 22:06:00,7849
2014-09-01 22:08:00,8861
2014-09-01 22:10:00,7251
2014-09-01 22:12:00,7452
2014-09-01 22:14:00,5446
2014-09-01 22:16:00,7961
2014-09-01 22:18:00,7659
2014-09-01 22:20:00,7149
2014-09-01 22:22:00,6146
2014-09-01 22:24:00,5951
2014-09-01 22:26:00,5645
2014-09-01 22:28:00,5536
2014-09-01 22:30:00,6137
2014-09-01 22:32:00,5437
2014-09-01 22:34:00,6847
2014-09-01 22:36:00,6247
2014-09-01 22:38:00,8263
2014-09-01 22:40:00,6245
2014-09-01 22:42:00,7846
2014-09-01 22:44:00,5235
2014-09-01 22:46:00,6848
2014-09-01 22:48:00,6950
2014-09-01 22:50:00,6343
2014-09-01 22:52:00,5341
2014-09-01 22:54:00,7148
2014-09-01 22:56:00,6046
2014-09-01 22:58:00,5742
2014-09-01 23:00:00,7150
2014-09-01 23:02:00,6650
